key current-time xcor ycor available-power actual-power
 31 3.826102966881926 10.78170967989119 5.410543907070631 0 0 
 60 3.826102966881926 9.098939729228467 4.233798299775415 0 0 
 47 3.826102966881926 -1.9982144826272223 8.502864246115744 0 0 
 70 3.826102966881926 -11.776854784574486 17.35469042858547 -1 -1 
 59 3.826102966881926 2.7434302064194096 4.367502652179284 -2 0 
 62 3.826102966881926 -13.682408486693163 -8.30624548588482 0 0 
 29 3.826102966881926 -4.712429806496932 4.746406362943554 0 0 
 11 3.826102966881926 -15.84859431361239 4.366823511798027 1 1 
 46 3.826102966881926 8.450402785947626 13.822852924495113 0 0 
 85 3.826102966881926 -8.513301081780673 -9.380606096226595 0 0 
 64 3.826102966881926 -0.30834534705520084 -17.04294044091595 0 0 
 66 3.826102966881926 9.650024562178176 -15.337028679930116 0 0 
 71 3.826102966881926 -7.037168159408072 8.015605317551355 0 0 
 90 3.826102966881926 -5.378046639912831 17.281381248557455 0 0 
 63 3.826102966881926 -5.359960121553146 -6.808910216553386 0 0 
 69 3.826102966881926 -17.199053486097124 3.1625103085788275 0 0 
 68 3.826102966881926 -4.187036019648434 15.487310076159217 0 0 
 65 3.826102966881926 12.551734779679961 -9.936485377204676 -1 0 
 89 3.826102966881926 -5.309673688691529 -6.473523558282489 0 0 
 76 3.826102966881926 3.562773517058387 4.919344548611216 0 0 
 82 3.826102966881926 5.208583159685876 6.697217377127462 0 0 
 53 3.826102966881926 -13.454021537017509 13.01154306897319 0 0 
 4 3.826102966881926 13.930100575548057 -8.50695034772436 0 0 
 10 3.826102966881926 12.956119612766265 3.0384664343199175 0 0 
 84 3.826102966881926 -19.0540488157301 4.95356792121487 0 0 
 36 3.826102966881926 17.00557911147455 -0.8391659505986233 1 1 
 61 3.826102966881926 19.12810504727557 14.762222990786954 0 0 
 75 3.826102966881926 -9.481631975184643 -14.53227393806498 0 0 
 73 3.826102966881926 -5.396643686168911 0.987826436676846 0 0 
 28 3.826102966881926 9.672758555553541 -17.070920513099896 0 0 
